Store,Date,Sales
01,2015-07-31,17941.31
02,2015-07-31,15162.6
03,2015-07-31,4450.65
04,2015-07-31,7300.07
05,2015-07-31,19127.66
06,2015-07-31,9283.76
07,2015-07-31,25222.76
08,2015-07-31,9390.94
10,2015-07-31,11469.23
09,2015-07-31,5933.79
01,2015-07-30,16560.13
02,2015-07-30,12683.83
03,2015-07-30,4287.96
04,2015-07-30,8064.88
05,2015-07-30,15766.73
06,2015-07-30,8637.95
07,2015-07-30,18853.28
08,2015-07-30,7523.46
10,2015-07-30,9131.96
09,2015-07-30,4140.93
01,2015-07-29,17071.7
02,2015-07-29,13209.91
03,2015-07-29,3525.06
04,2015-07-29,6765.98
05,2015-07-29,13321.52
06,2015-07-29,8350.79
07,2015-07-29,16785.14
08,2015-07-29,7185.94
10,2015-07-29,9704.1
09,2015-07-29,3236.95
01,2015-07-28,16846.04
02,2015-07-28,13898.14
03,2015-07-28,3966.95
04,2015-07-28,7691.82
05,2015-07-28,15448.89
06,2015-07-28,8184.77
07,2015-07-28,18838.35
08,2015-07-28,7521.26
10,2015-07-28,10063.77
09,2015-07-28,3015.09
01,2015-07-27,19974.98
02,2015-07-27,14915.77
03,2015-07-27,4452.48
04,2015-07-27,7612.93
05,2015-07-27,17092.32
06,2015-07-27,9710.39
07,2015-07-27,20207.47
08,2015-07-27,7577.5
10,2015-07-27,12104.67
09,2015-07-27,4613.99
01,2015-07-26,7925.09
02,2015-07-26,26.26
03,2015-07-26,-138.07
04,2015-07-26,128.72
05,2015-07-26,217.5
06,2015-07-26,117.39
07,2015-07-26,222.2
08,2015-07-26,110.21
10,2015-07-26,-82.84
09,2015-07-26,22.12
01,2015-07-25,6840.03
02,2015-07-25,8933.54
03,2015-07-25,1847.45
04,2015-07-25,2857.47
05,2015-07-25,9479.77
06,2015-07-25,5921.95
07,2015-07-25,12725.91
08,2015-07-25,5371.47
10,2015-07-25,5565.27
09,2015-07-25,3222.68
01,2015-07-24,11144.03
02,2015-07-24,9191.2
03,2015-07-24,2738.71
04,2015-07-24,5208.86
05,2015-07-24,7766.15
06,2015-07-24,6511.39
07,2015-07-24,12936.68
08,2015-07-24,5039.4
10,2015-07-24,5659.53
09,2015-07-24,2853.11
01,2015-07-23,11679.11
02,2015-07-23,9521.52
03,2015-07-23,3086.15
04,2015-07-23,4939.24
05,2015-07-23,8561.39
06,2015-07-23,7440.12
07,2015-07-23,13849.86
08,2015-07-23,5198.27
10,2015-07-23,6383.58
09,2015-07-23,3068.88
01,2015-07-22,12406.85
02,2015-07-22,9264.42
03,2015-07-22,2437.28
04,2015-07-22,4199.35
05,2015-07-22,8120.71
06,2015-07-22,7006.12
07,2015-07-22,13591.17
08,2015-07-22,5429.33
10,2015-07-22,6774.86
09,2015-07-22,3123.59
01,2015-07-21,12030.69
02,2015-07-21,9377.33
03,2015-07-21,2736.81
04,2015-07-21,4875.74
05,2015-07-21,8360.64
06,2015-07-21,7132.97
07,2015-07-21,13622.46
08,2015-07-21,5868.05
10,2015-07-21,6381.36
09,2015-07-21,2852.97
01,2015-07-20,12630.82
02,2015-07-20,11312.3
03,2015-07-20,2853.44
04,2015-07-20,5126.36
05,2015-07-20,8860.06
06,2015-07-20,7751.73
07,2015-07-20,16290.77
08,2015-07-20,5913.75
10,2015-07-20,7064.41
09,2015-07-20,3804.47
01,2015-07-19,7372.69
02,2015-07-19,-40.15
03,2015-07-19,72.64
04,2015-07-19,61.51
05,2015-07-19,141.5
06,2015-07-19,-24.78
07,2015-07-19,29.05
08,2015-07-19,-126.59
10,2015-07-19,72.55
09,2015-07-19,13.07
01,2015-07-18,8296.53
02,2015-07-18,11103.51
03,2015-07-18,2489.38
04,2015-07-18,4506.85
05,2015-07-18,9379.21
06,2015-07-18,6253.27
07,2015-07-18,17703.66
08,2015-07-18,6309.72
10,2015-07-18,8262.55
09,2015-07-18,2684.07
01,2015-07-17,14174.33
02,2015-07-17,10961.69
03,2015-07-17,2647.62
04,2015-07-17,4660.8
05,2015-07-17,9874.54
06,2015-07-17,6926.32
07,2015-07-17,16340.18
08,2015-07-17,5889.55
10,2015-07-17,8069.04
09,2015-07-17,3248.48
01,2015-07-16,17111.44
02,2015-07-16,13039.1
03,2015-07-16,3860.93
04,2015-07-16,6727.02
05,2015-07-16,10830.23
06,2015-07-16,7765.72
07,2015-07-16,18378.2
08,2015-07-16,6998.2
10,2015-07-16,8918.29
09,2015-07-16,4601.76
01,2015-07-15,18324.6
02,2015-07-15,13304.97
03,2015-07-15,4447.78
04,2015-07-15,6674.45
05,2015-07-15,12466.93
06,2015-07-15,8686.06
07,2015-07-15,19907.82
08,2015-07-15,7489.43
10,2015-07-15,10215.93
09,2015-07-15,4715.49
01,2015-07-14,19273.69
02,2015-07-14,15241.23
03,2015-07-14,4498.2
04,2015-07-14,7856.46
05,2015-07-14,13037.74
06,2015-07-14,8033.82
07,2015-07-14,17666.39
08,2015-07-14,7718.21
10,2015-07-14,10600.11
09,2015-07-14,4893.32
01,2015-07-13,21330.65
02,2015-07-13,15623.49
03,2015-07-13,4614.83
04,2015-07-13,8712.81
05,2015-07-13,14553.0
06,2015-07-13,8640.46
07,2015-07-13,20775.06
08,2015-07-13,8198.53
10,2015-07-13,10724.56
09,2015-07-13,4595.35
01,2015-07-12,8552.37
02,2015-07-12,69.49
03,2015-07-12,65.97
04,2015-07-12,236.19
05,2015-07-12,45.87
06,2015-07-12,99.04
07,2015-07-12,-16.27
08,2015-07-12,-14.51
10,2015-07-12,-73.78
09,2015-07-12,-6.63
01,2015-07-11,9114.62
02,2015-07-11,11399.48
03,2015-07-11,1699.13
04,2015-07-11,4123.91
05,2015-07-11,9858.8
06,2015-07-11,6574.54
07,2015-07-11,17449.33
08,2015-07-11,6616.74
10,2015-07-11,7564.53
09,2015-07-11,2925.48
01,2015-07-10,11851.0
02,2015-07-10,10215.86
03,2015-07-10,2942.13
04,2015-07-10,4493.9
05,2015-07-10,8926.96
06,2015-07-10,6832.09
07,2015-07-10,15335.22
08,2015-07-10,6115.8
10,2015-07-10,6999.51
09,2015-07-10,3364.34
01,2015-07-09,11900.53
02,2015-07-09,9815.58
03,2015-07-09,2976.79
04,2015-07-09,5472.03
05,2015-07-09,8394.7
06,2015-07-09,6990.48
07,2015-07-09,14710.57
08,2015-07-09,6042.3
10,2015-07-09,7299.63
09,2015-07-09,3510.48
01,2015-07-08,12418.29
02,2015-07-08,10633.05
03,2015-07-08,2502.18
04,2015-07-08,4582.03
05,2015-07-08,9249.63
06,2015-07-08,7011.11
07,2015-07-08,15191.86
08,2015-07-08,5527.94
10,2015-07-08,7085.09
09,2015-07-08,3385.61
01,2015-07-07,11142.81
02,2015-07-07,8930.01
03,2015-07-07,2941.07
04,2015-07-07,4265.05
05,2015-07-07,7345.05
06,2015-07-07,6959.87
07,2015-07-07,12392.09
08,2015-07-07,5207.4
10,2015-07-07,5414.54
09,2015-07-07,3444.26
01,2015-07-06,11651.69
02,2015-07-06,11135.98
03,2015-07-06,2806.66
04,2015-07-06,6519.45
05,2015-07-06,8414.91
06,2015-07-06,8324.24
07,2015-07-06,16213.52
08,2015-07-06,7162.88
10,2015-07-06,7566.17
09,2015-07-06,4633.94
01,2015-07-05,7189.71
02,2015-07-05,-10.07
03,2015-07-05,-5.51
04,2015-07-05,91.28
05,2015-07-05,74.39
06,2015-07-05,145.6
07,2015-07-05,57.55
08,2015-07-05,-110.53
10,2015-07-05,-163.96
09,2015-07-05,-54.51
01,2015-07-04,7651.1
02,2015-07-04,9571.62
03,2015-07-04,1924.97
04,2015-07-04,3104.11
05,2015-07-04,6583.72
06,2015-07-04,5728.27
07,2015-07-04,13847.89
08,2015-07-04,5929.12
10,2015-07-04,5903.81
09,2015-07-04,2447.36
01,2015-07-03,13357.43
02,2015-07-03,12299.02
03,2015-07-03,3277.17
04,2015-07-03,5772.8
05,2015-07-03,10064.66
06,2015-07-03,7630.73
07,2015-07-03,16135.9
08,2015-07-03,6749.3
10,2015-07-03,7781.54
09,2015-07-03,3946.2
01,2015-07-02,15415.71
02,2015-07-02,11302.71
03,2015-07-02,4137.34
04,2015-07-02,5786.61
05,2015-07-02,11534.33
06,2015-07-02,8770.51
07,2015-07-02,15331.29
08,2015-07-02,7278.18
10,2015-07-02,7930.78
09,2015-07-02,4392.13
01,2015-07-01,17542.6
02,2015-07-01,13998.24
03,2015-07-01,4132.37
04,2015-07-01,6818.43
05,2015-07-01,12667.98
06,2015-07-01,9875.06
07,2015-07-01,16654.51
08,2015-07-01,8141.25
10,2015-07-01,9838.7
09,2015-07-01,5403.79
01,2015-06-30,28223.26
02,2015-06-30,17229.73
03,2015-06-30,4929.17
04,2015-06-30,9226.45
05,2015-06-30,16499.36
06,2015-06-30,10533.43
07,2015-06-30,29243.53
08,2015-06-30,10931.33
10,2015-06-30,14586.68
09,2015-06-30,7422.66
01,2015-06-29,27067.96
02,2015-06-29,18284.44
03,2015-06-29,5229.41
04,2015-06-29,11592.42
05,2015-06-29,15955.8
06,2015-06-29,10704.66
07,2015-06-29,27041.21
08,2015-06-29,10386.35
10,2015-06-29,14574.32
09,2015-06-29,6083.47
01,2015-06-28,8868.78
02,2015-06-28,53.86
03,2015-06-28,87.68
